1.471,4.089,24.430,-0.972,0.154,0.210
1.657,4.080,24.362,-0.984,0.157,0.224
1.343,4.099,24.862,-0.987,0.164,0.207
1.942,4.325,24.950,-0.996,0.201,0.192
1.598,4.021,24.224,-0.967,0.157,0.223
1.324,3.795,28.961,-0.985,0.162,0.053
1.559,4.021,25.048,-0.981,0.158,0.205
1.726,4.256,26.156,-1.007,0.087,0.214
0.922,4.854,25.666,-0.876,0.113,0.046
1.510,4.678,22.842,-0.935,0.075,0.154
1.020,4.815,25.578,-1.011,0.109,0.077
0.578,4.766,25.470,-0.977,0.116,0.166
0.627,4.335,25.460,-0.937,0.116,0.076
0.412,4.815,24.587,-1.061,0.120,0.191
-0.392,4.364,29.304,-0.864,0.308,0.219
-0.598,4.040,29.255,-0.813,0.354,0.183
-0.285,4.786,29.344,-0.858,0.289,0.184
-0.559,4.384,28.373,-0.871,0.279,0.236
-0.510,4.560,28.843,-0.852,0.275,0.230
-0.294,4.393,28.480,-0.915,0.192,0.144
-0.412,4.501,28.569,-0.868,0.217,0.211
-0.353,4.246,28.235,-0.877,0.223,0.212
-0.520,4.344,28.245,-0.870,0.228,0.212
-0.334,4.295,27.284,-0.866,0.218,0.243
-0.520,4.374,28.235,-0.870,0.228,0.204
-0.677,4.472,28.000,-0.857,0.237,0.215
-0.285,4.236,28.559,-0.886,0.226,0.217
-0.500,4.315,27.990,-0.866,0.228,0.222
-0.471,4.256,28.069,-0.881,0.235,0.214
-0.275,4.374,28.010,-0.877,0.221,0.226
-0.491,4.501,27.892,-0.874,0.234,0.225
-0.491,4.393,27.745,-0.869,0.217,0.228
0.019,5.423,26.676,-0.948,0.203,0.317
-0.226,5.472,28.657,-0.932,0.231,0.222
-0.392,3.972,28.265,-0.780,0.228,0.156
-0.167,5.374,27.902,-0.869,0.258,0.198
-0.775,4.511,27.078,-0.836,0.273,0.269
-0.471,4.442,27.814,-0.825,0.252,0.239
-0.736,4.619,27.147,-0.820,0.258,0.276
-0.608,4.678,27.343,-0.860,0.257,0.260
-0.618,4.825,26.607,-0.845,0.257,0.280
-0.696,4.560,28.235,-0.853,0.257,0.222
-0.471,4.393,27.608,-0.859,0.244,0.249
-0.618,4.403,27.490,-0.841,0.239,0.239
