Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-0.529,55.290,-4.967,-2.422,-0.564,-0.842,    ,848.465,-64.704,300.505,-116.667,0.358,-2.096
-0.039,54.809,-5.497,-2.388,-0.472,-0.945,    ,848.465,-64.704,300.505,-115.753,0.392,-2.090
1.726,56.918,-5.379,-2.415,-0.556,-0.832,    ,848.465,-64.704,300.505,-114.806,0.426,-2.083
0.922,57.987,-7.733,-2.304,-0.635,-0.820,    ,848.465,-64.704,300.505,-113.859,0.461,-2.075
0.853,57.330,-8.037,-2.426,-0.617,-0.785,    ,848.465,-64.704,300.506,-112.929,0.494,-2.068
1.118,57.810,-8.978,-2.485,-0.581,-0.803,    ,848.465,-64.704,300.506,-111.998,0.528,-2.059
1.422,57.781,-9.557,-2.422,-0.632,-0.827,    ,848.465,-64.704,300.506,-111.068,0.561,-2.051
0.294,58.605,-8.302,-2.511,-0.491,-1.025,    ,848.465,-64.704,300.506,-110.154,0.594,-2.041
0.471,58.889,-8.978,-2.565,-0.531,-1.014,    ,848.465,-64.704,300.506,-109.689,0.610,-2.037
0.481,61.517,-8.155,-2.468,-0.532,-1.020,    ,848.465,-64.704,300.506,-108.791,0.642,-2.027
0.667,60.183,-9.086,-2.423,-0.593,-0.919,    ,848.465,-64.704,300.506,-107.861,0.675,-2.016
1.010,60.272,-11.920,-2.383,-0.659,-0.851,    ,848.465,-64.704,300.507,-106.930,0.708,-2.005
1.030,60.311,-12.450,-2.308,-0.786,-0.846,    ,848.465,-64.704,300.507,-106.066,0.738,-1.994
0.942,60.762,-14.391,-2.343,-0.818,-0.987,    ,848.465,-64.704,300.507,-105.119,0.771,-1.981
0.785,61.037,-15.058,-2.192,-0.929,-0.870,    ,848.465,-64.704,300.507,-104.189,0.803,-1.969
3.315,62.910,-14.303,-2.183,-0.923,-0.693,    ,848.465,-64.704,300.507,-103.308,0.833,-1.956
3.884,62.929,-16.078,-2.151,-0.862,-0.622,    ,848.465,-64.704,300.507,-102.377,0.865,-1.942
2.560,61.978,-13.891,-2.329,-0.730,-0.698,    ,848.465,-64.704,300.507,-101.547,0.893,-1.930
1.765,64.057,-8.066,-3.181,0.073,-1.057,    ,848.466,-64.704,300.508,-100.682,0.922,-1.916
183.130,99.371,316.446,-50.934,10.915,21.915,    ,848.465,-64.704,300.508,-100.201,0.938,-1.908
