Fx,Fy,Fz,Mx,My,Mz,,Resultant of Fx and Fy
-52.132,-8.914,43.063,1.532,-5.562,-1.864,,30.523
-43.267,0.059,44.21,0.188,-5.565,-1.511,,21.604
-52.554,3.717,42.573,-0.137,-5.731,-2.103,,24.4185
-44.287,9.277,40.651,-0.902,-5.069,-1.908,,17.505
-51.054,8.963,42.396,-0.862,-5.617,-2.088,,21.0455
-51.642,11.131,39.15,-0.854,-6.537,-1.746,,20.2555
-47.366,9.414,38.415,-1.116,-5.737,-1.626,,18.976
-44.787,12.033,33.943,-1.047,-6.168,-1.389,,16.377
-53.564,10.728,36.002,-0.722,-6.501,-1.823,,21.418
-50.004,12.003,35.669,-1.021,-6.64,-1.532,,19.0005
-42.581,7.178,35.071,-0.851,-5.924,-1.381,,17.7015
-54.437,10.405,40.062,-1.032,-5.605,-2.243,,22.016
-41.796,7.316,35.061,-0.925,-5.897,-1.341,,17.24
-42.59,9.454,37.483,-1.256,-4.058,-1.809,,16.568
-39.903,8.444,38.179,-1.108,-5.83,-1.305,,15.7295
-42.198,10.052,35.855,-1.22,-4.045,-1.731,,16.073
-40.874,9.522,38.16,-1.136,-5.426,-1.354,,15.676
-44.414,8.355,37.307,-0.857,-6.006,-1.511,,18.0295
-42.404,10.248,37.561,-1.275,-5.123,-1.512,,16.078
-42.639,7.669,38.111,-0.96,-5.893,-1.494,,17.485
-40.423,8.728,35.316,-1.219,-4.823,-1.409,,15.8475
-47.484,8.11,36.806,-0.825,-5.909,-1.679,,19.687
-45.68,8.806,37.708,-0.948,-5.748,-1.603,,18.437
-50.485,7.512,34.374,-0.925,-5.771,-1.821,,21.4865
-42.296,10.915,35.63,-1.11,-5.273,-1.499,,15.6905
-42.296,9.561,34.845,-1.241,-4.391,-1.626,,16.3675
-53.084,10.395,38.474,-0.942,-6.414,-1.917,,21.3445
-39.688,9.159,41.298,-1.181,-5.079,-1.582,,15.2645
-49.592,11.327,38.042,-0.926,-6.619,-1.643,,19.1325
-44.552,12.062,35.924,-0.966,-5.712,-1.562,,16.245
-40.678,9.718,35.943,-1.015,-4.935,-1.467,,15.48
-41.943,11.395,39.827,-1.243,-4.634,-1.777,,15.274
-43.149,9.179,40.248,-1.118,-4.69,-1.741,,16.985
-40.041,8.757,38.621,-1.188,-5.295,-1.336,,15.642
-48.533,8.797,40.503,-0.823,-6.018,-1.827,,19.868
-41.482,10.277,36.149,-1.174,-5.32,-1.422,,15.6025
-45.101,2.01,37.208,-0.462,-4.245,-1.748,,21.5455
-41.453,-7.355,32.109,1.433,-5.726,-0.959,,24.404
-41.571,-15.465,36.865,2.05,-4.362,-1.104,,28.518
-37.256,-26.164,30.932,4.221,-4.366,-0.731,,31.71
-27.979,-32.803,28.99,4.718,-2.991,-0.496,,30.391
-17.75,-38.697,28.598,5.735,-1.82,-0.164,,28.2235
-7.914,-34.176,29.54,5.582,-0.475,0.205,,21.045
12.258,-51.456,26.735,6.464,1.747,0.824,,19.599
20.339,-44.669,30.991,6.032,2.86,0.708,,12.165
21.947,-43.218,32.629,5.545,2.831,0.824,,10.6355
10.552,-30.646,32.364,4.667,1.912,0.533,,10.047
4.815,-28.547,32.256,4.68,1.958,0.267,,11.866
7.325,-31.332,33.247,4.719,2.231,0.413,,12.0035
29.116,-48.621,27.147,6.583,4.357,1.18,,9.7525
6.325,-27.282,29.275,4.434,1.73,0.276,,10.4785
25.203,-44.601,32.619,5.889,3.548,0.865,,9.699
17.407,-36.285,33.158,4.131,1.535,0.926,,9.439
26.762,-46.17,31.481,6.731,4.434,0.835,,9.704
29.998,-47.582,30.148,7.004,4.735,1.015,,8.792
27.213,-45.258,32.864,6.309,4.321,0.99,,9.0225
28.38,-45.591,31.854,6.87,4.452,0.864,,8.6055
6.296,-28.224,30.756,4.335,1.493,0.338,,10.964
23.389,-41.904,33.913,4.917,2.712,0.956,,9.2575
21.712,-43.355,30.265,4.927,2.753,1.103,,10.8215
24.222,-42.973,31.746,5.881,3.756,0.898,,9.3755
24.212,-41.717,35.345,4.99,2.771,0.876,,8.7525
5.903,-28.253,31.717,4.318,1.536,0.305,,11.175
7.629,-28.704,31.56,4.518,1.881,0.322,,10.5375
24.075,-43.924,33.413,5.626,3.349,0.89,,9.9245
25.154,-44.836,33.423,6.156,3.865,0.757,,9.841
10.11,-30.871,34.168,4.09,1.549,0.486,,10.3805
3.256,-27.557,39.994,4.162,1.801,-0.047,,12.1505
3.148,-26.252,36.169,4.1,1.171,-0.046,,11.552
8.286,-32.921,38.189,4.749,2.266,0.346,,12.3175
21.653,-39.805,40.013,4.076,1.759,0.735,,9.076
20.79,-39.688,40.033,4.193,1.76,0.682,,9.449
30.685,-45.346,38.366,6.724,4.934,0.665,,7.3305
30.302,-46.287,38.827,5.681,3.633,0.95,,7.9925
12.327,-31.185,39.042,3.96,1.314,0.373,,9.429
27.537,-43.698,37.405,6.686,4.627,0.697,,8.0805
36.275,-51.426,38.022,6.996,5.004,0.889,,7.5755
26.321,-42.355,36.561,5.506,3.358,0.89,,8.017
28.321,-35.196,39.003,4.02,2.937,0.991,,3.4375
24.183,-28.586,38.689,3.995,3.647,0.682,,2.2015
21.604,-25.095,36.963,3.352,3.379,0.571,,1.7455
39.629,-26.086,39.003,3.187,4.965,1.097,,6.7715
42.335,-25.586,39.611,2.957,5.239,1.127,,8.3745
22.232,-21.202,33.982,2.372,2.801,0.69,,0.515
50.965,-27.988,38.111,3.011,6.205,1.454,,11.4885
47.935,-26.252,38.317,3.01,6.658,1.123,,10.8415
26.998,-21.771,36.395,2.822,3.819,0.799,,2.6135
35.892,-23.291,37.081,2.928,4.74,1.001,,6.3005
50.328,-27.017,38.846,2.708,6.374,1.284,,11.6555
51.034,-29.498,33.639,3.185,6.874,1.377,,10.768
52.426,-28.567,37.228,3.126,6.593,1.438,,11.9295
41.717,-25.978,38.944,2.609,4.323,1.321,,7.8695
45.767,-27.557,29.147,3.175,6.086,1.461,,9.105
25.428,-23.948,34.257,2.615,3.799,0.816,,0.74
40.04,-24.713,33.864,3.055,5.907,1.153,,7.6635
37.275,-23.732,36.424,2.587,3.951,1.199,,6.7715
53.907,-28.753,35.247,3.136,6.959,1.481,,12.577
54.437,-29.704,35.443,3.166,6.949,1.467,,12.3665
32.578,-22.281,36.63,3.041,4.381,0.839,,5.1485
44.336,-25.595,36.649,3.176,6.612,1.13,,9.3705
48.445,-26.164,40.347,2.492,5.393,1.366,,11.1405
31.46,-23.86,30.795,2.706,3.582,1.218,,3.8
23.967,-19.77,34.109,2.612,3.067,0.717,,2.0985
47.974,-26.419,38.169,2.877,6.359,1.214,,10.7775
57.732,-29.028,45.515,3.101,6.982,1.436,,14.352
27.576,-22.595,41.798,2.783,3.473,0.556,,2.4905
20.113,-23.516,36.669,2.653,3.421,0.532,,1.7015
19.515,-22.457,32.923,2.592,2.346,0.671,,1.471
58.81,-29.214,44.367,3.039,7.22,1.489,,14.798
16.71,-20.947,37.699,2.497,1.905,0.593,,2.1185
48.523,-26.645,45.387,2.45,4.423,1.315,,10.939
26.645,-21.584,40.935,2.773,3.484,0.465,,2.5305
15.475,-21.418,37.983,2.412,1.766,0.522,,2.9715
24.958,-22.781,31.148,2.546,3.119,0.886,,1.0885
28.782,-20.486,34.541,2.247,4.281,0.833,,4.148
30.753,-10.768,35.551,1.319,3.802,0.743,,9.9925
47.631,-5.727,30.922,0.347,5.234,1.397,,20.952
33.411,-1.069,31.354,0.126,4.137,0.762,,16.171
51.671,4.903,31.109,-1.029,5.594,1.407,,28.287
40.325,1.187,33.953,-0.946,4.913,0.997,,20.756
48.729,4.943,39.797,-1.424,5.264,1.192,,26.836
53.23,6.384,38.699,-1.511,5.875,1.301,,29.807
53.475,6.208,31.981,-1.381,5.917,1.394,,29.8415
45.875,3.364,36.532,-1.078,5.053,1.08,,24.6195
43.345,2.432,32.501,-1.242,5.217,1.117,,22.8885
36.608,3.275,32.315,-0.258,3.877,0.902,,19.9415
33.362,2.138,29.285,-0.366,4.123,0.803,,17.75
51.602,6.521,36.463,-1.719,6.235,1.134,,29.0615
56.261,5.492,38.326,-1.688,6.166,1.303,,30.8765
46.758,3.364,33.688,-1.367,5.55,1.172,,25.061
36.186,2.02,32.295,-0.466,4.534,0.914,,19.103
40.227,3.746,33.737,-0.375,4.141,1.049,,21.9865
56.241,6.463,36.316,-1.706,6.355,1.311,,31.352
42.119,3.236,34.257,-0.88,5.039,0.984,,22.6775
47.454,4.864,37.248,-1.194,4.936,1.216,,26.159
52.22,6.247,34.639,-1.633,6.252,1.21,,29.2335
49.416,5.472,28.265,-0.926,5.345,1.407,,27.444
48.435,4.629,35.345,-1.112,5.319,1.239,,26.532
36.343,2.981,28.853,-0.452,4.533,0.938,,19.662
46.581,4.393,36.914,-1.186,5.01,1.19,,25.487
50.985,6.335,42.278,-1.666,5.414,1.132,,28.66
