Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
-0.745,-33.598,51.417,1.219,-0.013,1,    ,848.694,-64.73,330.709,147.005,-1.176,179.619,,147,33.598,50.341,,85.417
-0.5,-33.568,50.269,1.353,-0.171,1.137,    ,848.694,-64.729,330.709,145.915,-1.183,179.642,,146,33.568,49.193,,84.269
-0.843,-35.775,50.975,1.4,-0.199,1.187,    ,848.694,-64.729,330.71,144.803,-1.19,179.665,,145,35.775,49.899,,84.975
-1.961,-36.608,50.917,1.444,-0.178,1.043,    ,848.695,-64.729,330.71,143.713,-1.196,179.687,,144,36.608,49.841,,84.917
-1.902,-37.236,49.063,1.538,-0.19,1.192,    ,848.695,-64.729,330.71,142.516,-1.202,179.712,,143,37.236,47.987,,83.063
-1.059,-38.501,48.278,1.639,-0.202,1.22,    ,848.695,-64.728,330.71,141.382,-1.208,179.736,,141,38.501,47.202,,82.278
-1.648,-39.413,48.092,1.745,-0.19,1.141,    ,848.695,-64.728,330.711,140.185,-1.213,179.761,,140,39.413,47.016,,82.092
-0.255,-38.717,47.818,1.774,-0.173,1.177,    ,848.695,-64.728,330.711,138.988,-1.218,179.787,,139,38.717,46.742,,81.818
-1.51,-40.737,46.651,1.932,-0.28,1.222,    ,848.696,-64.728,330.711,137.876,-1.222,179.811,,138,40.737,45.575,,80.651
-1.265,-40.992,43.915,2.095,-0.4,1.241,    ,848.696,-64.727,330.711,137.277,-1.223,179.823,,137,40.992,42.839,,77.915
-1.059,-42.08,44.238,2.03,-0.256,1.298,    ,848.696,-64.727,330.712,136.059,-1.227,179.849,,136,42.08,43.162,,78.238
-0.402,-42.316,43.503,2.144,-0.257,1.296,    ,848.696,-64.727,330.712,134.84,-1.23,179.875,,135,42.316,42.427,,77.503
-1.187,-43.228,42.267,2.308,-0.408,1.343,    ,848.696,-64.727,330.712,133.664,-1.232,179.901,,134,43.228,41.191,,76.267
-0.951,-45.13,40.463,2.429,-0.468,1.376,    ,848.696,-64.727,330.712,132.424,-1.234,179.927,,132,45.13,39.387,,74.463
