Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
0.647,1.598,61.4,-0.86,0.131,0.054,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.598,60.324,,95.4
0.549,1.648,61.939,-0.856,0.126,0.038,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.648,60.863,,95.939
0.539,1.589,61.733,-0.853,0.135,0.051,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.589,60.657,,95.733
0.53,1.726,61.508,-0.844,0.118,0.055,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.726,60.432,,95.508
0.53,1.726,61.508,-0.844,0.118,0.055,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.726,60.432,,95.508
0.618,1.677,61.567,-0.839,0.125,0.061,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.677,60.491,,95.567
0.755,1.54,61.488,-0.849,0.126,0.054,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.54,60.412,,95.488
0.569,1.746,61.625,-0.846,0.13,0.061,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.746,60.549,,95.625
0.637,1.559,61.704,-0.838,0.124,0.055,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.559,60.628,,95.704
0.598,1.687,61.714,-0.851,0.127,0.051,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.687,60.638,,95.714
0.637,1.657,61.635,-0.84,0.116,0.056,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.657,60.559,,95.635
0.569,1.579,61.743,-0.849,0.125,0.054,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.579,60.667,,95.743
0.608,1.628,61.969,-0.859,0.13,0.05,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.628,60.893,,95.969
0.608,1.608,61.714,-0.848,0.13,0.049,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.608,60.638,,95.714
0.608,1.608,61.714,-0.848,0.13,0.049,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.608,60.638,,95.714
0.569,1.5,62.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04,,96.116
0.569,1.5,62.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04,,96.116
0.569,1.5,62.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04,,96.116
