0.569,-0.363,-9.973,-0.070,0.008,0.233,    ,-1175.599,800.100,-130.330,125.442,2.623,-35.669
0.579,-0.206,-9.454,-0.074,0.047,0.226,    ,-1177.295,798.070,-131.351,125.442,2.624,-35.669
0.549,-0.245,-9.581,0.040,0.105,0.169,    ,-1179.144,795.855,-132.465,125.443,2.625,-35.668
1.334,-0.147,-9.208,0.081,0.103,0.223,    ,-1180.269,794.508,-133.143,125.444,2.625,-35.668
0.696,-0.412,-10.827,0.040,0.014,0.221,    ,-1182.794,791.484,-134.663,125.445,2.627,-35.668
0.686,-1.187,-9.493,0.019,0.061,0.224,    ,-1186.762,786.731,-137.053,125.447,2.629,-35.667
0.990,-1.510,-9.561,0.060,-0.026,0.230,    ,-1190.269,782.532,-139.165,125.448,2.631,-35.666
1.177,-0.216,-10.719,0.028,0.099,0.231,    ,-1202.646,767.708,-146.620,125.454,2.637,-35.664
2.079,-0.108,-10.993,0.016,0.224,0.281,    ,-1223.633,742.573,-159.261,125.463,2.649,-35.660
0.971,0.010,-8.208,-0.076,0.098,0.200,    ,-1235.984,727.781,-166.700,125.468,2.656,-35.657
0.186,-1.412,-8.904,0.089,0.013,0.187,    ,-1255.143,704.815,-178.083,125.476,2.666,-35.654
1.373,-0.373,-9.561,-0.005,0.091,0.247,    ,-1262.791,695.482,-181.314,125.480,2.670,-35.653
0.775,-0.127,-9.434,-0.038,0.123,0.163,    ,-1263.769,694.136,-180.516,125.480,2.670,-35.653
1.549,-0.559,-10.081,-0.022,0.057,0.220,    ,-1264.937,692.261,-177.449,125.480,2.669,-35.653
0.667,-0.422,-10.267,0.043,0.110,0.187,    ,-1266.720,689.392,-172.717,125.480,2.668,-35.653
0.735,0.010,-9.581,-0.085,0.102,0.144,    ,-1269.420,685.047,-165.551,125.479,2.666,-35.654
1.187,-0.284,-10.650,-0.056,0.006,0.358,    ,-1271.043,682.437,-161.246,125.479,2.665,-35.654
1.285,-1.236,-11.572,0.101,0.036,0.346,    ,-1274.490,676.891,-152.099,125.479,2.663,-35.655
0.677,-0.598,-10.748,0.100,-0.053,0.113,    ,-1277.304,672.365,-144.633,125.479,2.661,-35.656
1.177,-0.490,-9.758,0.189,0.102,0.218,    ,-1278.447,670.525,-141.600,125.479,2.660,-35.656
1.893,-1.844,-9.101,0.336,0.172,0.278,    ,-1279.881,668.159,-137.059,125.479,2.659,-35.657
1.657,-1.716,-9.777,0.566,0.244,0.123,    ,-1279.509,668.367,-133.215,125.479,2.659,-35.657
1.040,-1.608,-9.061,0.535,0.243,0.200,    ,-1278.520,669.609,-131.516,125.479,2.659,-35.657
2.079,-2.667,-9.424,0.695,0.276,0.255,    ,-1275.227,673.936,-128.227,125.479,2.659,-35.656
1.245,-0.981,-8.326,0.465,0.165,0.202,    ,-1270.765,679.825,-124.089,125.479,2.659,-35.655
2.246,-2.246,-9.856,0.770,0.275,0.278,    ,-1267.678,683.898,-121.226,125.479,2.660,-35.655
0.471,-0.471,-9.816,0.556,0.117,0.153,    ,-1260.872,692.882,-114.913,125.479,2.660,-35.654
0.785,-1.196,-11.994,0.604,0.093,0.221,    ,-1253.369,702.783,-107.955,125.479,2.661,-35.652
0.971,-0.814,-9.267,0.548,0.088,0.215,    ,-1250.021,707.202,-104.849,125.479,2.661,-35.652
