Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
7.639,5.913,38.808,0.372,-0.47,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.727,38.485,0.369,-0.483,-0.579,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.962,39.014,0.362,-0.471,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.737,5.855,38.749,0.37,-0.474,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.805,38.965,0.359,-0.464,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.756,38.691,0.359,-0.465,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.805,38.504,0.371,-0.467,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.845,38.74,0.357,-0.47,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.639,38.622,0.357,-0.469,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.864,38.828,0.365,-0.467,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.737,38.691,0.366,-0.475,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,5.923,38.848,0.37,-0.48,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,6.011,38.651,0.376,-0.48,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.894,39.004,0.37,-0.465,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.473,5.835,38.416,0.361,-0.471,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.796,5.747,38.72,0.364,-0.468,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.522,6.002,38.563,0.369,-0.472,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.756,38.416,0.373,-0.473,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
