Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
-0.49,-54.76,-8.512,3.702,-0.714,1.668,    ,848.699,-64.725,330.718,114.786,-1.198,-179.696,,115,54.76,24.412
-1.294,-54.564,-9.395,3.777,-0.829,1.68,    ,848.699,-64.725,330.718,113.717,-1.192,-179.673,,114,54.564,23.529
-1.451,-56.045,-9.405,3.836,-0.85,1.706,    ,848.699,-64.725,330.718,112.52,-1.185,-179.649,,113,56.045,23.519
-1.981,-56.712,-10.101,3.96,-0.894,1.69,    ,848.699,-64.725,330.719,111.28,-1.177,-179.623,,111,56.712,22.823
-1.687,-56.29,-11.533,4.011,-0.883,1.675,    ,848.699,-64.725,330.719,110.082,-1.169,-179.599,,110,56.29,21.391
-1.128,-57.457,-13.464,4.04,-0.901,1.861,    ,848.7,-64.725,330.719,108.864,-1.16,-179.574,,109,57.457,19.46
-1.108,-56.918,-14.896,4.164,-0.906,1.717,    ,848.7,-64.724,330.72,108.244,-1.155,-179.561,,108,56.918,18.028
-2.197,-58.683,-16.524,4.425,-1.098,1.833,    ,848.7,-64.724,330.72,107.046,-1.146,-179.537,,107,58.683,16.4
-0.922,-57.477,-16.318,4.26,-0.971,1.916,    ,848.7,-64.724,330.721,105.464,-1.133,-179.506,,105,57.477,16.606
-1.167,-57.428,-17.328,4.343,-1.095,1.709,    ,848.7,-64.724,330.721,104.951,-1.128,-179.496,,105,57.428,15.596
-1.363,-58.418,-18.485,4.428,-1.082,1.816,    ,848.7,-64.724,330.721,103.754,-1.117,-179.472,,104,58.418,14.439
-2.638,-58.134,-20.084,4.694,-1.108,1.657,    ,848.7,-64.724,330.722,102.557,-1.106,-179.449,,103,58.134,12.84
-1.824,-58.958,-21.271,4.655,-1.07,1.658,    ,848.7,-64.724,330.722,101.36,-1.094,-179.426,,101,58.958,11.653
-2.354,-59.114,-23.281,4.785,-1.16,1.716,    ,848.7,-64.724,330.722,100.163,-1.082,-179.403,,100,59.114,9.643
-0.814,-58.722,-22.879,4.735,-1.059,1.832,    ,848.7,-64.724,330.723,99.072,-1.071,-179.383,,99,58.722,10.045
