Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-30.165,4.158,21.104,-0.625,-1.230,-1.676,    ,767.297,-264.797,348.720,-176.586,-28.686,-98.502
-32.362,4.325,19.368,-0.534,-1.331,-1.805,    ,768.066,-281.996,358.716,-176.370,-31.332,-98.069
-35.186,4.619,18.083,-0.474,-1.526,-1.951,    ,769.263,-302.242,371.915,-176.131,-34.549,-97.542
-38.109,4.668,16.210,-0.358,-1.660,-2.113,    ,770.484,-318.584,383.814,-175.952,-37.243,-97.097
-40.403,4.864,13.700,-0.240,-1.815,-2.232,    ,771.927,-334.597,396.684,-175.791,-39.984,-96.638
-42.924,4.619,12.415,-0.145,-2.026,-2.377,    ,773.600,-350.214,410.530,-175.651,-42.771,-96.162
-45.689,4.746,10.179,-0.019,-2.174,-2.506,    ,775.769,-367.260,427.323,-175.522,-45.971,-95.600
-47.670,4.678,7.786,0.101,-2.346,-2.612,    ,777.763,-380.638,441.931,-175.446,-48.622,-95.115
-49.357,4.590,5.698,0.256,-2.396,-2.729,    ,780.420,-395.944,460.484,-175.396,-51.846,-94.497
-51.701,4.501,3.050,0.415,-2.610,-2.847,    ,782.793,-407.716,476.362,-175.397,-54.498,-93.955
-53.662,4.384,0.990,0.525,-2.787,-2.935,    ,785.918,-421.079,496.501,-175.462,-57.744,-93.239
-55.918,4.070,-2.422,0.679,-2.950,-3.017,    ,788.718,-431.358,513.925,-175.585,-60.464,-92.579
-57.173,3.883,-4.344,0.841,-3.048,-3.104,    ,791.649,-440.697,531.654,-175.786,-63.160,-91.852
-58.673,3.432,-7.051,1.006,-3.184,-3.196,    ,795.345,-450.713,553.369,-176.167,-66.380,-90.850
-60.105,3.285,-10.758,1.217,-3.326,-3.263,    ,798.563,-458.056,571.779,-176.645,-69.049,-89.863
-61.282,3.079,-13.778,1.370,-3.402,-3.277,    ,801.940,-464.555,590.660,-177.342,-71.736,-88.655
-61.831,2.579,-16.593,1.606,-3.490,-3.345,    ,806.137,-471.105,613.574,-178.619,-74.939,-86.774
-62.714,2.236,-19.035,1.751,-3.668,-3.387,    ,809.776,-475.554,632.993,179.688,-77.608,-84.580
-64.008,1.667,-22.340,1.927,-3.776,-3.424,    ,813.618,-479.128,653.085,176.848,-80.321,-81.227
-64.263,1.314,-25.968,2.169,-3.888,-3.426,    ,818.222,-482.019,676.664,170.351,-83.416,-74.136
-63.861,0.873,-29.136,2.372,-3.911,-3.385,    ,822.193,-483.383,696.586,157.191,-85.850,-60.478
-64.734,0.990,-28.871,2.390,-3.974,-3.434,    ,822.883,-483.518,700.012,153.248,-86.228,-56.449
-64.518,1.648,-29.969,2.356,-4.011,-3.437,    ,822.883,-483.518,700.012,163.659,-86.490,-66.881
-64.645,3.403,-28.969,2.276,-3.973,-3.514,    ,822.883,-483.518,700.012,-169.843,-86.579,-93.426
-64.959,4.236,-29.842,2.270,-3.991,-3.641,    ,822.883,-483.518,700.012,-160.003,-86.416,-103.284
-64.204,8.336,-29.037,2.057,-3.972,-3.629,    ,822.883,-483.518,700.012,-120.265,-83.306,-143.156
-63.645,12.935,-28.920,1.896,-3.960,-3.796,    ,822.883,-483.518,700.012,-109.624,-79.926,-153.907
-63.174,14.690,-30.224,1.820,-3.961,-3.789,    ,822.883,-483.518,700.012,-106.906,-78.345,-156.674
-62.978,14.730,-29.685,1.801,-3.952,-3.817,    ,823.456,-483.443,699.899,-106.971,-78.337,-156.533
-63.812,15.132,-29.704,1.767,-3.960,-3.831,    ,838.145,-481.244,697.013,-108.590,-78.104,-152.973
-63.498,15.200,-30.538,1.764,-3.952,-3.790,    ,854.575,-478.143,693.808,-110.288,-77.818,-149.090
-63.547,15.436,-29.136,1.823,-3.938,-3.781,    ,874.173,-473.536,690.017,-112.155,-77.443,-144.592
-63.106,15.642,-29.312,1.742,-3.882,-3.767,    ,897.481,-466.730,685.556,-114.151,-76.953,-139.423
-63.116,18.299,-29.557,1.525,-3.839,-3.757,    ,916.673,-459.996,681.922,-115.614,-76.514,-135.302
-62.694,17.113,-28.469,1.542,-3.815,-3.767,    ,935.374,-452.401,678.418,-116.885,-76.057,-131.392
-63.410,16.603,-28.577,1.656,-3.894,-3.746,    ,957.261,-442.135,674.366,-118.187,-75.485,-126.930
-63.233,17.260,-28.116,1.506,-3.828,-3.782,    ,975.095,-432.595,671.105,-119.102,-74.989,-123.370
-62.066,18.799,-29.028,1.311,-3.717,-3.711,    ,995.972,-419.968,667.340,-120.013,-74.375,-119.269
